Key,Section,English (do not edit),Armenian (հայերեն),Russian (русский),Has formatting?,Where it comes from
stay.s2,stay,Call DiliJazz at,,,,index.html
stay.s2b,stay,"From abroad, you can call or message them on WhatsApp at",,,,index.html
stay.s3,stay,Mention <strong>Gohar &amp; Roman’s wedding</strong> to receive the special rate — on the wedding night and on any nights before or after.,,,YES - keep the tags,index.html
stay.rooms,stay,Explore rooms,,,,index.html
stay.pet,stay,<strong>Bringing a pet?</strong> Pet-friendly rooms are available in selected room categories. Please mention your pet when calling the hotel.,,,YES - keep the tags,index.html
wear.label,wear,What to wear,,,,index.html
wear.h,wear,Dress to Impress the Forest,,,,index.html
wear.sub,wear,No color restrictions,,,,index.html
wear.p1,wear,No color restrictions — wear whatever makes you feel your best.,,,,index.html
wear.p2,wear,"We may spend a little time outdoors in the hotel’s garden and natural surroundings, so keep that in mind when choosing your shoes and layers.",,,,index.html
rsvp.h,rsvp,Will You Join Us?,,,,index.html
rsvp.hope,rsvp,We hope you’ll be there!,,,,index.html
f.name,rsvp,"Your Name <span class=""req"">*</span>",,,YES - keep the tags,index.html
f.email,rsvp,"Email <span class=""req"">*</span>",,,YES - keep the tags,index.html
f.attending,rsvp,"Will you join us? <span class=""req"">*</span>",,,YES - keep the tags,index.html
f.att.yes,rsvp,"Yes, happily!",,,,index.html
f.att.no,rsvp,"Sadly, I can’t make it.",,,,index.html
f.guests,rsvp,"Total Number of Guests <span class=""req"">*</span> <span class=""hint"">(including yourself)</span>",,,YES - keep the tags,index.html
f.side,rsvp,Which team do you represent?,,,,index.html
f.side.bride,rsvp,Bride,,,,index.html
f.side.groom,rsvp,Groom,,,,index.html
f.hotel,rsvp,Will you be staying with us at DiliJazz?,,,,index.html
f.hotel.yes,rsvp,Yes,,,,index.html
f.hotel.no,rsvp,No,,,,index.html
f.hotel.maybe,rsvp,Not sure yet,,,,index.html
f.note,rsvp,Leave us a note,,,,index.html
f.required,rsvp,Required field,,,,index.html
f.send,rsvp,Register,,,,index.html
close.p1,closing,"Come ready to celebrate, dance, laugh and stay a little longer than planned.",,,,index.html
close.p2,closing,"We can’t wait to have you there with us! <span class=""heart"" aria-hidden=""true"">♥</span>",,,YES - keep the tags,index.html
js.sending,form,Sending…,,,,site.js (not yet wired)
js.error,form,"Sorry, something went wrong. Please try again.",,,,site.js (not yet wired)
js.thanks.yes.h,form,"We got it! <span class=""heart"">♥</span>",,,YES - keep the tags,site.js (not yet wired)
js.thanks.yes.p,form,Thank you. We can’t wait to celebrate with you.,,,,site.js (not yet wired)
js.thanks.no.h,form,We’ll miss you!,,,,site.js (not yet wired)
js.thanks.no.p,form,Thank you for letting us know.,,,,site.js (not yet wired)
cfg.weddingDateUpper,hero,"OCTOBER 24, 2026",,,,site.js CONFIG (not yet wired)
cfg.locationUpper,hero,"DILIJAN, ARMENIA",,,,site.js CONFIG (not yet wired)
cfg.location,details,"Dilijan, Armenia",,,,site.js CONFIG (not yet wired)
cfg.weddingDate,general,"October 24, 2026",,,,site.js CONFIG (not yet wired)
